Country,Code,Year,Share of the richest quintile in total income or expenditure,Share of the 4th quintile in total income or expenditure,Share of the 3rd quintile in total income or expenditure,Share of the 2nd quintile in total income or expenditure,Share of the poorest quintile in total income or expenditure
Portugal,PRT,2018,41.39751762,22.04108977,16.53824308,12.61943042,7.403719103
Portugal,PRT,2019,40.90323082,22.03815759,16.71170162,12.75268092,7.594229038
Romania,ROU,1989,33.33871961,23.01279259,18.72872634,14.98860113,9.931160323
Romania,ROU,1992,34.76268525,23.22794219,18.43162012,14.3559487,9.221803739
Romania,ROU,1994,37.27578986,22.62176386,17.64082607,13.60882843,8.852791784
Romania,ROU,1995,39.15537398,22.55746694,17.32559501,13.02777476,7.9337893
Romania,ROU,1997,38.86087871,22.40247412,17.33102109,13.22511553,8.180510544
Romania,ROU,1998,39.15568598,22.84590526,17.16432297,12.84131199,7.992773793
Romania,ROU,1999,38.00527647,22.71061164,17.42850536,13.33208699,8.523519542
Romania,ROU,2000,37.93009235,22.71039997,17.49607604,13.33014091,8.533290734
Romania,ROU,2001,37.95718,22.78520915,17.51843648,13.32445431,8.414720055
Romania,ROU,2002,38.50593818,22.76976664,17.41881965,13.12069093,8.184784603
Romania,ROU,2003,38.44438998,22.67128848,17.31857243,13.16348691,8.402262195
Romania,ROU,2004,38.42578137,22.87386734,17.340138,13.09763672,8.26257657
Romania,ROU,2005,38.42724341,22.6731597,17.34885199,13.17633189,8.374413018
Romania,ROU,2006,38.84698431,22.72889668,17.2371914,12.98232158,8.204606033
Romania,ROU,2007,38.74169422,22.65572387,17.2189995,13.09754476,8.286037665
Romania,ROU,2008,38.09780968,22.89328663,17.43350029,13.1750686,8.400334803
Romania,ROU,2009,36.97923663,23.07779142,17.67382652,13.53747642,8.731669003
Romania,ROU,2010,36.87284578,23.16789988,17.75334236,13.55771026,8.648201723
Romania,ROU,2011,36.16661576,23.153732,17.96715888,13.77220566,8.940287705
Romania,ROU,2012,36.28193483,23.165339,17.84983108,13.7896794,8.913215694
Romania,ROU,2013,36.36112393,23.10456928,17.9391264,13.71195528,8.883225108
Romania,ROU,2014,40.73296035,24.734766,17.77859537,11.87480072,4.878877554
Romania,ROU,2015,40.75004599,24.66300897,17.70993093,11.79786752,5.079146597
Romania,ROU,2016,36.94095687,23.09371231,17.85389282,13.58068762,8.53075038
Romania,ROU,2017,41.01695539,24.67194373,17.37606401,11.66917466,5.265862211
Romania,ROU,2018,37.35902534,22.96892987,17.70709086,13.47770812,8.487245817
Romania,ROU,2019,40.38631053,24.15019255,17.74708132,12.06606103,5.650354571
Russia,RUS,1993,53.34526559,20.19425938,13.38774062,8.675661088,4.397073319
Russia,RUS,1996,51.11998781,21.11488345,14.14114788,9.173276426,4.450704435
Russia,RUS,1997,45.05730446,22.15490006,15.5544948,10.95506625,6.278234424
Russia,RUS,1998,44.62039526,22.61270684,15.67784876,10.89245998,6.196589157
Russia,RUS,1999,43.82652633,23.01489228,15.86364478,11.02553615,6.269400458
Russia,RUS,2000,43.7034031,22.86159559,15.89503878,11.11114348,6.428819057
Russia,RUS,2001,43.82662554,22.56542299,15.79248167,11.19868697,6.61678282
Russia,RUS,2002,44.19313981,22.54883269,15.54769552,11.06469027,6.645641703
Russia,RUS,2003,46.69930978,21.91893535,14.90990288,10.39377735,6.07807465
Russia,RUS,2004,46.77385229,22.10136464,14.88812443,10.26864132,5.968017322
Russia,RUS,2005,47.72679786,21.81052672,14.54278364,10.0815586,5.838333187
Russia,RUS,2006,47.5353136,21.7274041,14.66759625,10.17522238,5.894463665
Russia,RUS,2007,48.94407058,21.16878399,14.20915125,9.893052504,5.784941676
Russia,RUS,2008,48.52975113,20.98563672,14.32541678,10.10670918,6.052486179
Russia,RUS,2009,47.10077899,21.22438103,14.72907826,10.54038029,6.40538143
Russia,RUS,2010,46.59749586,21.622653,14.82860445,10.54413818,6.407108519
Russia,RUS,2011,46.98708674,21.28020223,14.73107714,10.54586829,6.455765607
Russia,RUS,2012,47.84455027,20.99146768,14.50381774,10.32085882,6.339305496
Russia,RUS,2013,48.00639969,20.96048242,14.39396386,10.27157388,6.367580144
Russia,RUS,2014,47.12517012,21.02770133,14.68626085,10.57874035,6.582127349
Russia,RUS,2015,45.28499294,21.51129728,15.18506391,11.10955919,6.909086687
Russia,RUS,2016,44.35337561,21.92703164,15.4655895,11.23055712,7.023446112
Russia,RUS,2017,44.77024574,21.70859839,15.2732645,11.197868,7.050023361
Russia,RUS,2018,45.12413583,21.3911028,15.22647351,11.16458887,7.093699
Russia,RUS,2019,45.25110509,21.3802219,15.16603178,11.12497532,7.077665917
Russia,RUS,2020,44.00930637,21.43303955,15.50399312,11.57167134,7.481989613
Rwanda,RWA,2000,54.92242683,18.44701446,12.57248265,8.868829378,5.189246684
Rwanda,RWA,2005,58.01555196,17.63598685,11.67722245,8.13223457,4.539004178
Rwanda,RWA,2010,54.05604461,18.48893193,12.71181239,9.104674873,5.638536197
Rwanda,RWA,2013,52.1894128,18.96282942,13.23599742,9.649031598,5.962728761
Rwanda,RWA,2016,50.82453329,19.78021937,13.56176743,9.80991288,6.02356703
Rwanda - rural,,1984,38.9242297,21.63217014,16.65522016,13.09014167,9.698238328
Saint Lucia,LCA,1995,48.34095376,21.7540376,14.80564399,9.873938939,5.225425721
Saint Lucia,LCA,2016,55.38988213,20.56072771,12.97246565,7.942307018,3.134617496
Samoa,WSM,2002,47.87806498,20.78109982,14.49630485,10.58791538,6.256614977
Samoa,WSM,2008,49.21226772,20.34393477,14.06980244,9.981271427,6.392723633
Samoa,WSM,2013,46.35831374,20.84220072,14.9057565,11.05120938,6.84251966
Sao Tome and Principe,STP,2000,40.1788015,22.95961186,16.64178367,12.29556186,7.924241111
Sao Tome and Principe,STP,2010,39.49208218,22.55763514,16.82644578,12.74185463,8.381982268
Sao Tome and Principe,STP,2017,47.91833033,20.6801423,14.5758748,10.38531193,6.440340632
Senegal,SEN,1991,58.62480707,19.3034871,11.59688103,6.971570408,3.503254383
Senegal,SEN,1994,48.42574628,20.36837426,14.38507438,10.36088548,6.459919589
Senegal,SEN,2001,48.41302381,20.55282193,14.22528156,10.25150508,6.557367618
Senegal,SEN,2005,45.81482117,22.10019702,15.17783772,10.67631778,6.230826304
Senegal,SEN,2011,46.92582688,21.70193479,14.96191639,10.3495353,6.060786639
Senegal,SEN,2018,45.76091285,21.29547815,14.98748881,10.87063744,7.085482751
Serbia,SRB,2002,40.98381759,21.99731986,16.55605907,12.49169317,7.971110309
Serbia,SRB,2003,40.91823569,22.27155548,16.56749654,12.42073031,7.821981978
Serbia,SRB,2004,43.03312107,22.10403076,15.87220159,11.69744713,7.293199446
Serbia,SRB,2005,43.75335126,21.83328576,15.92647087,11.62942034,6.857471775
Serbia,SRB,2006,38.50453281,22.44139409,17.21711518,13.31867854,8.518279377
Serbia,SRB,2007,37.77127522,22.48062879,17.32636565,13.58164023,8.840090117
Serbia,SRB,2008,37.02627772,22.51761899,17.4456791,13.72665146,9.283772722
Serbia,SRB,2009,37.09148184,22.69316507,17.58721821,13.62006274,9.008072143
Serbia,SRB,2010,37.86094317,22.69871664,17.38966188,13.40671889,8.643959423
Serbia,SRB,2012,44.95816247,23.17794101,16.27356572,10.87955016,4.710780629
Serbia,SRB,2013,37.90711071,22.60633327,17.44190674,13.37474044,8.669908839
Serbia,SRB,2014,44.83506054,23.58919107,16.53505792,10.78716385,4.253526614
Serbia,SRB,2015,37.673264,22.46377132,17.34861773,13.53737355,8.976973399
Serbia,SRB,2016,43.52454625,23.68498441,16.96220146,11.36278867,4.465479209
Serbia,SRB,2017,41.4669825,23.83219828,17.41460811,12.13189949,5.15431161
Serbia,SRB,2018,39.11821426,22.47258321,16.92760433,13.00351932,8.478078872
Serbia,SRB,2019,37.57087668,22.93205364,17.46125129,13.55225751,8.483560873
Seychelles,SYC,1999,48.85135722,20.89186981,14.45595555,10.10044114,5.700376275
Seychelles,SYC,2006,48.97090379,21.05004771,14.30317847,9.87533323,5.800536802
Seychelles,SYC,2013,53.03195675,18.43683386,13.32815519,9.777766429,5.425287765
Seychelles,SYC,2018,39.10139563,23.60451698,17.61275383,12.64069443,7.040639125
Sierra Leone,SLE,2003,47.78988345,20.74008308,14.42816609,10.44909626,6.592771113
Sierra Leone,SLE,2011,42.42599781,21.92038359,15.82143769,11.92930475,7.902876162
Sierra Leone,SLE,2018,44.18465224,20.97764977,15.27019959,11.66942298,7.898075429
Slovakia,SVK,1992,31.69748796,22.26097119,18.84699012,15.66425078,11.53029995
Slovakia,SVK,1996,35.26478953,22.61735263,18.58637504,14.73548473,8.795998069
Slovakia,SVK,2004,38.30042539,21.92288195,17.1388675,13.50670552,9.131119648
Slovakia,SVK,2005,38.8552157,21.97487488,17.07203948,13.261046,8.836823938
Slovakia,SVK,2006,37.61371814,21.7395915,17.24674757,13.74672204,9.653220752
Slovakia,SVK,2007,38.00587333,21.45876639,17.10021236,13.78337378,9.651774143
Slovakia,SVK,2008,37.02229408,21.69807852,17.33718126,14.07574517,9.866700969
Slovakia,SVK,2009,36.22278562,21.99459533,17.60038969,14.09173818,10.09049118
Slovakia,SVK,2010,36.07222468,22.72257265,18.23743988,14.45856755,8.509195242
Slovakia,SVK,2011,35.42425145,22.99662934,18.43613726,14.48409606,8.658885892
Slovakia,SVK,2012,34.86381629,23.1936398,18.6901486,14.63722869,8.615166623
Slovakia,SVK,2013,36.45905657,22.88591381,18.30139856,14.08508461,8.268546448
Slovakia,SVK,2014,34.475631,23.46173309,18.97021184,14.713386,8.379038067
Slovakia,SVK,2015,35.02059536,23.16633631,18.69371481,14.61843965,8.500913864
Slovakia,SVK,2016,33.95424042,23.24300202,18.99780542,15.12597616,8.678975973
Slovakia,SVK,2017,32.57801231,23.52160704,19.1448177,15.40547472,9.350088236
Slovakia,SVK,2018,33.83171835,23.50616843,18.80977855,15.01054096,8.841793705
Slovakia,SVK,2019,32.8398832,23.19893796,19.04654587,15.39970034,9.514932635
Slovenia,SVN,1987,34.2026558,22.32978317,18.24527833,14.81399209,10.40829061
Slovenia,SVN,1993,38.62663405,21.87739124,16.94075553,13.27557548,9.279643704
Slovenia,SVN,1997,34.19385519,22.65755496,18.32405767,14.87076123,9.953770948
Slovenia,SVN,1998,37.7222774,22.48090091,17.33754124,13.3618126,9.097467849
Slovenia,SVN,1999,34.17862413,22.60892056,18.30065008,14.91993588,9.991869351
Slovenia,SVN,2002,37.85587918,22.87310867,17.27823875,13.34697888,8.645794518
Slovenia,SVN,2003,39.06257399,23.00911218,17.12816276,12.64074318,8.159407892
Slovenia,SVN,2004,34.72621725,22.64940001,18.17176482,14.63508434,9.81753358
Slovenia,SVN,2005,34.58953476,22.68936089,18.19009688,14.6313562,9.899651271
Slovenia,SVN,2006,34.44877004,22.68429854,18.18682319,14.71101985,9.96908839
Slovenia,SVN,2007,34.44012725,22.63112115,18.22897384,14.72960668,9.970171079
Slovenia,SVN,2008,34.03137562,22.57162005,18.30687827,14.87303666,10.2170894
Slovenia,SVN,2009,34.73227728,22.66200381,18.16647453,14.5892911,9.849953278
Slovenia,SVN,2010,34.75500886,22.6708949,18.22904734,14.65186043,9.693188468
Slovenia,SVN,2011,34.78284249,22.55772255,18.22224261,14.70242431,9.734768038
Slovenia,SVN,2012,35.2349409,22.58679628,18.16449829,14.58240008,9.431364441
Slovenia,SVN,2013,35.65447964,22.64280677,18.09733472,14.41824395,9.187134922
Slovenia,SVN,2014,35.37321538,22.52316098,18.1170781,14.54639102,9.44015452
Slovenia,SVN,2015,35.11478324,22.57705961,18.22949845,14.51506365,9.563595054
Slovenia,SVN,2016,34.7176997,22.55959726,18.28350413,14.69353503,9.745663888
Slovenia,SVN,2017,34.41883783,22.50126977,18.25475906,14.8178859,10.00724744
Slovenia,SVN,2018,34.88621509,22.32658636,18.07097522,14.6153914,10.10083193
Slovenia,SVN,2019,34.58783106,22.44405926,18.16819356,14.65834131,10.14157481
Solomon Islands,SLB,2005,52.0369332,20.62688003,13.30791591,9.052698827,4.975572031
Solomon Islands,SLB,2012,44.60887016,21.5409645,15.50248569,11.37125915,6.9764205
South Africa,ZAF,1993,64.33193064,18.1642223,9.30512342,5.251741618,2.946982028
South Africa,ZAF,2000,62.65053339,18.80900759,9.878649406,5.597364219,3.064445401
South Africa,ZAF,2005,71.02091122,14.16641389,7.513224542,4.714406735,2.585043615
South Africa,ZAF,2008,68.68853561,15.7828639,8.05622769,4.867775642,2.604597152
South Africa,ZAF,2010,68.94495328,15.89802287,7.971471028,4.717609198,2.467943623
South Africa,ZAF,2014,68.20843627,16.48995071,8.15390159,4.783401113,2.36431032
South Korea,KOR,2006,39.16631991,23.13081697,17.45039356,12.94437598,7.308093579
South Korea,KOR,2008,39.7406501,23.04122723,17.21613655,12.78071205,7.221274063
South Korea,KOR,2010,39.44969006,23.11041007,17.28942485,12.88277383,7.267701192
South Korea,KOR,2012,38.97929152,23.19340338,17.53079493,13.01158424,7.284925921
South Korea,KOR,2014,38.87665036,23.11464445,17.40947996,13.12896497,7.470260259
South Korea,KOR,2016,39.12126107,22.96953751,17.39935765,12.96579953,7.544044234
South Sudan,SSD,2009,50.55762513,22.77775865,14.20343762,8.597939949,3.863238663
Spain,ESP,1980,41.68864959,22.64532887,16.5885888,12.14457103,6.932861709
Spain,ESP,1985,42.05550878,22.17616648,16.40134657,12.20472737,7.162250788
Spain,ESP,1990,39.88591087,22.66150905,17.04855314,12.71584022,7.688186718
Spain,ESP,1995,43.28690923,22.5907287,16.2440322,11.6546886,6.22364127
Spain,ESP,2000,41.64222983,22.53603564,16.5203438,12.19627545,7.105115275
Spain,ESP,2003,39.10988498,23.23430186,17.50391948,12.97424221,7.177651464
Spain,ESP,2004,40.3299855,23.23649545,17.05869033,12.48348056,6.891348153
Spain,ESP,2005,39.63534125,23.19916772,17.37939113,12.76599531,7.020104583
Spain,ESP,2006,40.40673879,23.23853857,17.18004318,12.47455747,6.700121994
Spain,ESP,2007,41.04149976,23.0549237,16.94193089,12.23896875,6.7226769
Spain,ESP,2008,40.97515969,23.14891814,17.00896848,12.2755243,6.591429394
Spain,ESP,2009,41.46127175,23.15273478,16.87126449,12.20682147,6.307907507
Spain,ESP,2010,41.71072417,23.1993141,16.78475889,11.98042354,6.324779303
Spain,ESP,2011,41.75506782,23.50757925,16.92796188,11.81214424,5.997246804
Spain,ESP,2012,41.64874456,23.35687872,16.98223434,11.9433243,6.068818086
Spain,ESP,2013,41.91300637,23.73118165,17.00106225,11.68567664,5.669073092
Spain,ESP,2014,41.88834163,23.56605695,17.0210027,11.83074987,5.693848854
Spain,ESP,2015,42.08758565,23.45060221,16.95870338,11.74939094,5.753717816
Spain,ESP,2016,41.66550083,23.52075241,17.10554194,11.96161234,5.746592474
Spain,ESP,2017,41.02339735,23.40678633,17.16168611,12.19711054,6.211019672
Spain,ESP,2018,41.00816336,23.53157571,17.08307648,12.19223735,6.184947087
Spain,ESP,2019,40.58641659,23.62100539,17.29375864,12.32345858,6.175360806
Sri Lanka,LKA,1985,41.1186368,21.82587802,16.39569752,12.36796721,8.291820453
Sri Lanka,LKA,1990,41.69458866,21.00005186,16.0195051,12.54267448,8.743179907
Sri Lanka,LKA,1995,43.98647004,21.11879739,15.24462942,11.66753793,7.982565221
Sri Lanka,LKA,2002,47.9554079,20.40570491,14.19738629,10.45203974,6.989461159
Sri Lanka,LKA,2006,47.39658134,20.54698428,14.3654444,10.65173351,7.039256463
Sri Lanka,LKA,2009,44.39284882,20.98570059,15.25689669,11.59419734,7.770356564
Sri Lanka,LKA,2012,46.61708385,20.53714926,14.63021818,10.96438091,7.251167793
Sri Lanka,LKA,2016,47.20587165,20.28818116,14.57513723,10.8161202,7.114689752
Sudan,SDN,2009,42.37457633,22.86887322,16.28271498,11.65184833,6.821987141
Sudan,SDN,2014,42.37355918,21.63621972,16.09653323,12.06609864,7.827589235
Suriname - urban,,1999,60.52031251,20.03977823,12.16969032,6.245197107,1.025021837
Sweden,SWE,1967,39.51119924,24.01885548,17.91522796,13.62129189,4.933425432
Sweden,SWE,1975,34.19762484,23.18338333,18.1336669,14.5153278,9.969997124
Sweden,SWE,1981,32.75790717,23.52088383,18.67703362,15.06693871,9.977236669
Sweden,SWE,1987,33.18114446,23.24527832,18.30083826,14.96296472,10.30977424
Sweden,SWE,1992,34.47572198,23.21661474,18.08996169,14.53906873,9.678632857
Sweden,SWE,1995,34.42822677,23.34770601,18.38651285,14.47017788,9.367376483
Sweden,SWE,2000,36.56156984,22.66134852,17.53129191,13.94972427,9.296065454
Sweden,SWE,2003,34.67996941,23.1240892,18.28960329,14.55687342,9.349464683
Sweden,SWE,2004,35.53730545,22.89183609,17.94389586,14.28638086,9.340581745
Sweden,SWE,2005,35.6080734,23.13513898,18.17685071,14.36641952,8.71351739
Sweden,SWE,2006,35.62259945,22.88343162,17.99275283,14.32182956,9.179386544
Sweden,SWE,2007,36.17753657,22.82338518,17.81531179,14.29763335,8.886133121
Sweden,SWE,2008,36.87779874,22.77440073,17.64620411,14.11782908,8.583767335
Sweden,SWE,2009,36.21462528,22.98722095,17.84519438,14.3195393,8.633420081
Sweden,SWE,2010,36.64463243,22.76497416,17.77501422,14.22631687,8.589062323
Sweden,SWE,2011,36.32081752,23.03060674,17.84893528,14.31500154,8.484638918
Sweden,SWE,2012,36.3606931,23.01593141,17.85016981,14.30166549,8.471540193
Sweden,SWE,2013,37.05065146,23.18931364,17.65980197,14.03762007,8.062612856
Sweden,SWE,2014,37.0132837,22.9202144,17.66563936,13.99820892,8.402653612
Sweden,SWE,2015,37.56670095,22.82954278,17.55068657,13.8907609,8.162308801
Sweden,SWE,2016,37.79802981,22.77627104,17.53038856,13.81865876,8.076651835
Sweden,SWE,2017,37.13284016,23.1344419,17.59305639,13.85431457,8.28534698
Sweden,SWE,2018,37.76404716,23.23594857,17.56924176,13.68581703,7.744945473
Sweden,SWE,2019,37.54882352,22.98865692,17.57259609,13.81074955,8.079173924
Switzerland,CHE,1982,43.47349968,21.93538363,15.6275272,11.55167944,7.411910055
Switzerland,CHE,1992,41.30386998,22.59670648,16.47382603,12.16282403,7.462773475
Switzerland,CHE,2000,41.25683112,22.55005157,16.24450752,12.19386708,7.754742714
Switzerland,CHE,2002,39.66724929,23.14544764,16.78967815,12.3204213,8.077203624
Switzerland,CHE,2006,41.38290656,22.72378629,16.49427983,11.98087581,7.418151508
Switzerland,CHE,2007,41.75507077,22.45386377,16.35463078,12.04654361,7.389891071
Switzerland,CHE,2008,41.28309252,22.6491706,16.54292287,12.01407871,7.5107353
Switzerland,CHE,2009,40.6261879,22.70187938,16.57876635,12.31278556,7.780380802
Switzerland,CHE,2010,40.37389596,22.62628234,16.78467685,12.45811631,7.757028539
Switzerland,CHE,2011,39.75223085,22.71954091,16.97864953,12.64199033,7.907588387
Switzerland,CHE,2012,39.79240616,22.53317248,16.85169246,12.685672,8.137056899
Switzerland,CHE,2013,40.49864057,22.53671075,16.61952728,12.40625517,7.938866236
Switzerland,CHE,2014,40.52703718,22.50215254,16.63714,12.50240686,7.831263417
Switzerland,CHE,2015,40.23680552,22.61517261,16.82696329,12.49371012,7.827348467
Switzerland,CHE,2016,40.83065376,22.4741655,16.64274506,12.40480243,7.647633246
Switzerland,CHE,2017,40.6359529,22.44052527,16.68146812,12.53666044,7.705393258
Switzerland,CHE,2018,40.81186448,22.50866132,16.76263267,12.37531496,7.541526566
Syria,SYR,1996,43.4180439,21.37638817,15.61827545,11.7881644,7.799128085
Syria,SYR,2003,45.30002503,21.34186972,15.02681994,11.10875797,7.222527346
Taiwan,TWN,1981,39.13251549,22.154892,16.81447571,13.06126082,8.836855979
Taiwan,TWN,1986,38.93887561,22.06805284,16.89034124,13.11292767,8.989802643
Taiwan,TWN,1991,39.0138626,22.27238521,16.86023803,13.02283113,8.830683022
Taiwan,TWN,1995,39.64932014,22.50814984,16.90561178,12.82738406,8.109534175
Taiwan,TWN,1997,39.49240177,22.39806699,16.84195265,12.78972449,8.477854102
Taiwan,TWN,2000,39.84225465,22.26299205,16.65576176,12.78976864,8.449222907
Taiwan,TWN,2005,40.66124794,22.1859954,16.47953135,12.48391975,8.189305561
Taiwan,TWN,2007,40.61137969,22.28619563,16.45735431,12.48085072,8.164219651
Taiwan,TWN,2010,41.16457444,22.38796675,16.49009073,12.30275903,7.654609042
Taiwan,TWN,2013,40.83007763,22.13654244,16.50830971,12.54201915,7.983051074
Taiwan,TWN,2016,40.06796259,22.21130498,16.68582508,12.73275079,8.302156557
Tajikistan,TJK,1999,38.14122806,22.65505449,17.41654538,13.44585234,8.341319729
Tajikistan,TJK,2003,40.89623657,22.39649008,16.48408431,12.311275,7.911914036
Tajikistan,TJK,2004,41.86872865,21.92525548,16.37151558,12.05199195,7.782508338
Tajikistan,TJK,2007,39.71549952,22.69731254,17.13075067,13.02842519,7.42801207
Tajikistan,TJK,2009,39.27141887,22.55942279,17.08212358,12.73294046,8.354094299
Tajikistan,TJK,2015,41.71988165,22.42585446,16.37895275,12.04030835,7.435002794
Tanzania,TZA,1991,42.96508466,22.06537597,15.94812008,11.99905944,7.022359846
Tanzania,TZA,2000,44.67036995,21.89163794,15.36518455,11.29511575,6.777691822
Tanzania,TZA,2007,47.24265408,21.11469606,14.73412522,10.61723665,6.291287985
Tanzania,TZA,2011,45.83168874,20.71743077,14.945057,11.13784014,7.367983357
Tanzania,TZA,2018,48.0863723,20.41790889,14.16479305,10.4602046,6.870721159
Thailand,THA,1981,51.40156908,20.68681858,13.50306707,8.990953488,5.417591784
Thailand,THA,1988,50.72572949,20.26611919,13.53047334,9.361135149,6.116542833
Thailand,THA,1990,52.24212566,19.83877288,12.90289196,9.106421416,5.909788078
Thailand,THA,1992,54.39650529,19.46217468,12.29002037,8.466114552,5.385185113
Thailand,THA,1994,50.36872018,20.3993441,13.52108155,9.577126867,6.133727291
Thailand,THA,1996,49.94708489,20.44584217,13.65793236,9.757154801,6.191985789
Thailand,THA,1998,48.48347144,21.26157744,14.0325289,9.851099418,6.371322805
Thailand,THA,1999,50.07997041,20.62308641,13.62884881,9.601598127,6.06649625
Thailand,THA,2000,49.73318704,20.86806317,13.64540871,9.599663176,6.153677903
Thailand,THA,2002,48.87775513,20.93578367,14.03954242,9.869149723,6.27776905
Thailand,THA,2004,49.26681685,20.88070329,13.99655073,9.748439069,6.107490064
Thailand,THA,2006,48.45458101,21.35578205,14.30158916,9.863221502,6.024826283
Thailand,THA,2007,46.72045011,21.72575413,14.72950153,10.32224982,6.502044401
Thailand,THA,2008,47.16933833,21.67994342,14.59565481,10.1341389,6.420924544
Thailand,THA,2009,46.51090442,21.8157604,14.83075379,10.3174453,6.52513609
Thailand,THA,2010,46.49654032,21.66320142,14.78341016,10.4447706,6.612077499
Thailand,THA,2011,45.14674545,21.44531872,15.13445406,11.05014553,7.22333625
Thailand,THA,2012,46.32174551,21.75283145,14.83639266,10.44063389,6.648396483
Thailand,THA,2013,45.11626975,22.07211033,15.09239767,10.78921249,6.930009754
Thailand,THA,2014,44.47001941,22.09297363,15.30030662,11.02371172,7.112988627
Thailand,THA,2015,43.75006934,21.94062072,15.54034438,11.28957397,7.479391585
Thailand,THA,2016,44.54404392,21.84037836,15.26569747,11.09033159,7.259548661
Thailand,THA,2017,44.07967442,22.08148429,15.47758026,11.107769,7.253492037
Thailand,THA,2018,43.96124482,22.22537791,15.46280978,11.10736651,7.243200982
Thailand,THA,2019,42.76549717,22.29583269,15.72867134,11.51725263,7.692746162
Thailand,THA,2020,42.73532369,22.42490176,15.82756302,11.50158067,7.510630857
Timor,TLS,2001,43.51787957,22.10271588,15.64207718,11.45520238,7.282124984
Timor,TLS,2007,37.51413339,22.3157608,17.17232865,13.47749265,9.520284512
Timor,TLS,2014,38.40876986,21.83377023,16.90663158,13.42533841,9.425489921
Togo,TGO,2006,49.14239294,21.15552284,13.90200709,9.742730599,6.057346537
Togo,TGO,2011,51.61266122,21.46861592,13.41004179,8.685738453,4.822942615
Togo,TGO,2015,48.59841631,22.4088153,14.41678082,9.537915031,5.038072536
Togo,TGO,2018,48.89718137,21.17888251,14.23581915,9.898545272,5.789571699
Tonga,TON,2000,44.20800492,22.62114881,15.89179288,11.02994885,6.249104536
Tonga,TON,2009,44.58258728,22.14523144,15.50979692,11.02903861,6.733345748
Tonga,TON,2015,45.35804649,21.18878764,15.24201302,11.37353801,6.83761483
Trinidad and Tobago,TTO,1988,47.97373882,22.61624228,14.90623798,9.603242055,4.900538868
Trinidad and Tobago,TTO,1992,45.89488887,22.73431006,15.53102243,10.33429581,5.50548284
Tunisia,TUN,1985,49.57446645,21.01090614,14.24326939,9.631537666,5.53982035
Tunisia,TUN,1990,46.32930129,22.13273734,15.26606263,10.40788895,5.864009792
Tunisia,TUN,1995,47.86232171,21.84190532,14.7353524,9.903810927,5.656609642
Tunisia,TUN,2000,47.30534126,21.64960897,14.88221914,10.19979001,5.963040635
Tunisia,TUN,2005,44.6656985,22.07790544,15.64471545,11.17014501,6.441535602
Tunisia,TUN,2010,42.91334954,22.62100398,16.14029102,11.59428578,6.731069684
Tunisia,TUN,2015,40.90108989,22.465425,16.48970648,12.34066992,7.803108705
Turkey,TUR,1987,49.91522306,20.35461089,14.02484393,9.810526145,5.894795979
Turkey,TUR,1994,47.61577046,21.59772171,14.86899396,10.1460843,5.771429571
Turkey,TUR,2002,47.72550341,21.62647371,14.78450376,10.09914859,5.764370532
Turkey,TUR,2003,48.36391583,21.54858145,14.57935565,9.99896255,5.509184514
Turkey,TUR,2004,47.0119762,22.41500724,15.15391181,10.0586144,5.360490339
Turkey,TUR,2005,48.32716672,21.68881115,14.84496952,9.978258157,5.160794455
Turkey,TUR,2006,45.63559819,22.5360139,15.65585615,10.56112562,5.61140614
Turkey,TUR,2007,44.70354044,22.73467513,15.84922398,10.95395569,5.758604748
Turkey,TUR,2008,45.13105539,22.39413787,15.8581292,10.92385779,5.692819748
Turkey,TUR,2009,45.43310035,22.25118896,15.6447972,10.79500161,5.875911882
Turkey,TUR,2010,45.18321432,22.34266992,15.58516257,10.98552985,5.903423339
Turkey,TUR,2011,46.48917981,21.93338108,15.18946214,10.59185145,5.796125521
Turkey,TUR,2012,46.59217906,21.99790006,15.07927507,10.53950542,5.791140385
Turkey,TUR,2013,46.57600345,21.94487826,15.14347114,10.49012512,5.845522036
Turkey,TUR,2014,47.68036914,21.63397918,14.69893354,10.21263475,5.774083393
Turkey,TUR,2015,49.16750285,21.08018244,14.24890398,9.908100463,5.59531027
Turkey,TUR,2016,48.29456792,21.55062345,14.4948126,9.934488645,5.725507378
Turkey,TUR,2017,47.85234134,21.52972755,14.62903008,10.18685292,5.802048111
Turkey,TUR,2018,48.47092157,21.1369694,14.4725551,10.14477181,5.774782125
Turkey,TUR,2019,48.01868044,21.8297526,14.64918086,10.09816793,5.40421818
Turkmenistan,TKM,1998,47.50339268,21.57577327,14.52092795,10.30156886,6.098337246
Tuvalu,TUV,2010,46.383739,21.28059101,14.94680274,10.80074154,6.588125718
Uganda,UGA,1989,49.91768717,21.60842158,14.25165523,9.281330097,4.940905924
Uganda,UGA,1992,48.16982058,20.60976924,14.6364719,10.40141378,6.182524504
Uganda,UGA,1996,46.46060983,21.0886156,14.87708084,10.75569543,6.817998296
Uganda,UGA,1999,49.74059442,20.26798333,14.05043205,10.00032039,5.940669803
Uganda,UGA,2002,52.13268664,19.14787392,13.28400595,9.56433315,5.871100338
Uganda,UGA,2005,49.82722041,20.42461021,13.83300831,9.859557005,6.055604062
Uganda,UGA,2009,51.22781604,19.56315538,13.5075357,9.780912109,5.920580763
Uganda,UGA,2012,48.29347781,20.61074663,14.31811912,10.41178165,6.365874791
Uganda,UGA,2016,49.81263615,20.39825502,13.81543709,9.826348095,6.147323646
